Time1	Space1	Time2	Space2
1646	4.51486	1279	-0.90468
1601	4.00516	1948	8.69167
1364	0.37043	1401	0.93647
1415	1.29614	1367	0.38347
1292	-0.7139	1431	1.40456
1505	2.34606	1381	0.60813
1519	2.84417	2647	19.184
1493	2.22661	1801	6.55112
1316	-0.36537	1606	4.19326
1491	2.44797	1279	-0.90468
1539	2.86451	1948	8.69167
1433	1.52359	1401	0.93647
1325	-0.22514	1367	0.38347
1636	4.39117	1431	1.40456
1435	1.61855	1381	0.60813
1295	-0.65122	1283	-0.843
1894	7.73709	1834	7.44328
1494	2.48826	1388	0.71155
1464	2.00697	2162	12.47795
1324	-0.23006	1291	-0.7294
1500	2.5083	1488	2.40568
1574	3.42678	1396	0.81093
1507	2.4228	1695	5.1726
1443	1.77263	1491	2.49014
1280	-0.86101	1490	2.19052
1519	2.82781	750	-9.27788
1443	1.7573	2246	13.75663
1284	-0.81263	1282	-0.85141
1322	-0.24999	1469	2.00274
1441	1.66388	1365	0.36327
1320	-0.28924	1438	1.67444
1427	1.45438	1286	-0.78673
1304	-0.54735	750	-9.27788
1538	2.81601	2246	13.75663
1445	1.78779	1282	-0.85141
1275	-0.9576	1469	2.00274
1414	1.3026	1365	0.36327
1285	-0.80465	1438	1.67444
1506	2.60584	1286	-0.78673
1308	-0.50196	1495	2.51033
1725	5.89866	1459	1.81211
1525	2.90863	1391	0.74752
2016	9.38435	2068	10.07322
1495	2.54147	1256	-1.27662
1493	2.22578	1886	8.19267
1748	5.86365	362	-14.65895
1777	6.24753	1385	0.63039
1374	0.45856	1887	8.38734
1428	1.49627	1502	2.63215
1304	-0.5192	2265	13.49656
1820	7.38864	1812	6.72955
1487	2.40872	1511	2.73804
1514	2.79941	1454	1.93817
1505	2.66244	1278	-0.89465
1363	0.34607	1734	6.06107
1795	6.4725	1503	2.60827
1635	4.3733	2472	16.34459
1708	5.60906	1934	8.31007
1540	3.0979	1408	1.08131
1464	1.92808	1353	0.18574
1353	0.16587	1914	8.59657
1520	2.70476	1515	2.63273
1588	3.88517	1869	8.12829
1521	2.8831	1277	-0.92969
1537	2.81882	3071	23.27625
1664	4.73534	1525	2.92761
1461	2.0251	1294	-0.67423
1276	-0.9473	1383	0.64142
1597	4.06814	1386	0.66524
1275	-0.96115	1308	-0.47549
1663	4.51673	1454	1.88939
1522	2.6255	1295	-0.67032
1606	3.87063	1505	2.65925
1531	2.74838	1488	2.4193
1588	3.84863	1735	5.82945
1532	3.0115	1519	2.59854
1509	2.69354	3007	22.16422
1509	2.70015	2341	15.09676
1538	2.8536	1540	3.13009
1596	4.02668	1403	1.0327
1513	2.78489	1349	0.15126
1565	3.51296	2251	13.22564
1523	2.88507	1823	6.83584
1445	1.7368	3007	22.16422
1703	5.51275	2341	15.09676
1300	-0.60646	1540	3.13009
1523	2.82112	1403	1.0327
1298	-0.67183	1349	0.15126
1417	1.19554	2251	13.22564
1381	0.61879	1823	6.83584
1834	7.12539	2207	13.11925
1763	6.06654	1512	2.73822
1509	2.71845	1416	1.30064
1446	1.77604	1302	-0.56149
1288	-0.77648	1677	5.14183
1527	2.70677	1597	4.06416
1537	2.83674	1273	-0.99487
1503	2.61455	1942	9.01113
1538	2.83885	1382	0.56721
1355	0.2241	2817	20.4719
1500	2.58186	2715	20.6491
1531	2.73777	1538	3.0752
